AyBy	AyBn	AnBy	AnBn	ByAy	ByAn	BnAy	BnAn
171	82	15	150	157	37	82	180
192	71	19	136	203	27	64	148
108	30	9	59	119	15	36	74
155	81	23	237	164	30	75	225
177	68	15	176	210	28	52	171
164	60	15	203	184	19	59	172
215	89	17	263	213	34	84	251
114	67	18	224	128	16	49	198
142	60	16	207	145	29	55	208
189	88	19	283	156	29	97	295
104	55	20	222	111	40	56	188
99	149	4	115	81	8	139	103
131	148	6	141	118	9	117	156
116	111	11	141	130	10	110	142
158	146	11	204	159	15	118	229
93	108	5	135	91	15	110	160
125	153	7	237	141	17	131	214
70	118	2	158	65	14	112	165
77	100	8	159	77	15	115	172
138	92	9	166	108	17	93	191
204	203	14	387	185	29	207	369
75	90	5	159	67	21	89	165
81	108	6	208	72	20	112	179
85	100	7	168	90	14	114	153
90	123	5	196	91	19	114	197
33	78	77	29	30	63	67	40
37	62	71	47	33	56	56	47
67	127	95	81	59	103	120	114
72	97	82	109	50	88	95	119
36	45	42	78	103	133	133	200
74	93	109	107	49	105	89	104
57	95	95	142	48	113	89	145
54	68	116	75	50	136	49	96
59	76	131	131	49	133	71	125
41	58	104	135	43	96	67	149
48	74	118	101	46	100	100	121
42	68	106	119	58	112	71	128
35	78	94	146	28	118	70	142
44	114	134	158	68	133	122	165
22	92	108	158	33	125	98	133
19	84	94	190	19	119	85	170
82	19	11	79	96	21	12	80
137	18	20	146	161	16	20	146
132	18	23	190	113	18	17	151
89	55	115	19	100	141	47	20
163	233	46	121	194	70	171	94
95	14	23	69	94	35	10	54
72	21	4	65	110	6	18	84
110	27	5	56	119	6	13	75
38	22	82	157	30	91	20	155
47	15	11	54	37	7	17	64
66	58	27	209	60	27	57	275
103	140	96	66	136	96	151	54
165	104	59	22	166	61	100	14
21	75	70	214	23	85	71	207
95	30	13	96	100	9	26	95
97	71	14	79	97	15	65	70
6	22	17	245	11	22	38	239
86	51	23	48	79	12	47	48
25	42	179	146	19	199	61	117
50	61	18	119	73	12	69	100
72	55	118	31	86	143	50	18
388	196	44	299	369	48	162	313
25	73	7	124	26	2	83	109
96	87	167	193	89	145	94	171
79	73	140	105	56	120	58	120
219	20	79	129	243	86	11	92
172	36	140	89	130	129	24	94
183	8	74	194	195	29	67	195
29	7	34	46	35	7	23	43
57	5	19	37	60	14	3	29
138	108	3	44	175	78	10	42
